NO,FAKULTAS DAN PROGRAM STUDI,AKREDITASI,UANG KULIAH,UANG PEMBANGUNAN
1,S-1 Pendidikan Dokter,A dan ASIIN,Rp. 19.500.000,Rp. 310.500.000
2,Profesi Dokter,A dan ASIIN,Rp. 22.500.000,Rp. 200.000.000
3,S-1 Farmasi,Baik,Rp. 5.000.000,Rp. 8.000.000
4,S-1 Kebidanan,Terakreditasi,Rp. 2.500.000,Rp. 6.400.000
5,Pendidikan Profesi Bidan,Terakreditasi,"Rp. 20.200.000,- (Paket Semester 1 dan 2)",
6,D-3 Kebidanan,Baik Sekali,Rp. 3.000.000,Rp. 4.550.000
7,D-3 Keperawatan,Baik Sekali,Rp. 3.000.000,Rp. 4.550.000
8,S-1 Pendidikan Guru Sekolah Dasar,Unggul,Rp. 3.900.000,Rp. 6.000.000
9,S-1 Pendidikan Bahasa Inggris,Unggul,Rp. 3.300.000,Rp. 4.550.000
10,S-1 Pendidikan Bahasa & Sastra Indonesia,Unggul,Rp. 3.500.000,Rp. 4.550.000
11,S-1 Pendidikan Matematika,Unggul,Rp. 3.300.000,Rp. 4.550.000
12,S-1 Pendidikan Seni Rupa,Unggul,Rp. 3.300.000,Rp. 4.550.000
13,S-1 Pendidikan Sosiologi,Unggul,Rp. 3.300.000,Rp. 4.550.000
14,S-1 Teknologi Pendidikan,Unggul,Rp. 3.300.000,Rp. 4.550.000
15,S-1 Pendidikan Fisika,Unggul,Rp. 3.300.000,Rp. 4.550.000
16,S-1 Pendidikan Pancasila dan Kewarganegaraan,Unggul,Rp. 3.050.000,Rp. 4.550.000
17,S-1 Pendidikan Biologi,Unggul,Rp. 3.050.000,Rp. 4.550.000
18,S-1 Pendidikan Guru Pendidikan Anak Usia Dini,Unggul,Rp. 3.050.000,Rp. 4.550.000
19,Pendidikan Profesi Guru (PPG),A,–,
20,S-1 Pendidikan Agama Islam,Unggul,Rp. 2.900.000,Rp. 3.100.000
21,S-1 Hukum Ekonomi Syariah (Mu’amalah),Unggul,Rp. 2.500.000,Rp. 3.100.000
22,S-1 Bimbingan Konseling Pend. Islam,Baik,Rp. 2.000.000,Rp. 2.600.000
23,S-1 Pendidikan Bahasa Arab,B,Rp. 2.500.000,Rp. 2.400.000
24,S-1 Hukum Keluarga (Ahwal Syakhshiyah),B,Rp. 2.500.000,Rp. 2.400.000
25,S-1 Komunikasi dan Penyiaran Islam,Baik,Rp. 2.500.000,Rp. 2.400.000
26,S-1 Akuntansi,Baik Sekali,Rp. 3.500.000,Rp. 5.000.000
27,S-1 Manajemen,Unggul,Rp. 3.500.000,Rp. 5.000.000
28,S-1 Ekonomi Pembangunan,Unggul,Rp. 3.000.000,Rp. 3.400.000
29,S-1 Ekonomi Islam,Unggul,Rp. 3.000.000,Rp. 3.400.000
30,D-3 Perpajakan,Unggul,Rp. 2.800.000,Rp. 3.400.000
31,S-1 Teknik Elektro,B,Rp. 3.600.000,Rp. 5.700.000
32,S-1 Teknik Pengairan,Baik Sekali,Rp. 3.600.000,Rp. 5.700.000
33,S-1 Arsitektur,Unggul,Rp. 3.600.000,Rp. 5.700.000
34,S-1 Informatika,Baik,Rp. 3.600.000,Rp. 5.700.000
35,S-1 Perencanaan Wilayah Kota,Baik,Rp. 3.600.000,Rp. 5.700.000
36,S-1 Ilmu Administrasi Negara,Unggul,Rp. 3.500.000,Rp. 4.550.000
37,S-1 Ilmu Pemerintahan,Unggul,Rp. 3.500.000,Rp. 4.550.000
38,S-1 Ilmu Komunikasi,B,Rp. 3.050.000,Rp. 4.550.000
39,S-1 Agribisnis,Unggul,Rp. 3.300.000,Rp. 4.550.000
40,S-1 Budidaya Perairan,Unggul,Rp. 3.300.000,Rp. 4.550.000
41,S-1 Kehutanan,Unggul,Rp. 3.050.000,Rp. 4.550.000
42,S-1 Agroteknologi,Baik,Rp. 3.050.000,Rp. 4.550.000
43,S-1 Hukum Bisnis,Baik,Rp. 4.000.000,Rp. 5.500.000
44,S-2 Manajemen,Unggul,Rp. 5.500.000,–
45,S-2 Ilmu Administrasi Publik,Unggul,Rp. 5.500.000,–
46,S-2 Pendidikan Islam,Baik Sekali,Rp. 5.000.000,–
47,S-2 Pend. Bahasa Indonesia,Baik Sekali,Rp. 5.500.000,–
48,S-2 Pendidikan Dasar,Unggul,Rp. 5.500.000,–
49,S-2 Pendidikan Bahasa Inggris,B,Rp. 5.000.000,–
50,S-2 Agribisnis,B,Rp. 5.000.000,–
51,S-2 Pendidikan Matematika,Baik,Rp. 5.000.000,–
52,S-2 Teknik Sumber Daya Air (Pengairan),Baik,Rp. 6.000.000,
53,S-2 Pendidikan Sosiologi,Unggul,Rp. 5.000.000,–
54,S-2 Akuntansi,Terakreditasi,Rp. 5.500.000,
55,S-3 Pendidikan Agama Islam,Baik,Rp. 10.000.000,–
56,S-3 Pendidikan,Baik Sekali,Rp. 12.000.000,–
57,S-3 Agribisnis,Baik,Rp. 10.000.000,–


